word_1	word_2	biword	frequency
3NEG	CESS	3NEG|CESS	2
CESS	cry	CESS|cry	3
nettles	PST	nettles|PST	1
go.to	get	go.to|get	1
ITER	come.in	ITER|come.in	4
PST	take.out	PST|take.out	9
PST	move.into	PST|move.into	1
ITER	put.in	ITER|put.in	1
DEM	then	DEM|then	27
3SBJ.DEF.	3NEG	3SBJ.DEF.|3NEG	22
ITER	touch	ITER|touch	1
woman	PST	woman|PST	2
no.longer	come.out	no.longer|come.out	1
PST	come.out	PST|come.out	1
INCH	treat	INCH|treat	1
INCH	wipe	INCH|wipe	3
INCH	CESS	INCH|CESS	6
3SBJ.DEF.	at.last	3SBJ.DEF.|at.last	1
at.last	be.while	at.last|be.while	1
NEG	3NEG	NEG|3NEG	2
man.	PST	man.|PST	1
go.to	around	go.to|around	4
around	look.for	around|look.for	2
INCH	track	INCH|track	2
3NEG	be.far	3NEG|be.far	19
PST	hear	PST|hear	2
1POSS	then	1POSS|then	1
EMPH	see	EMPH|see	1
2PROH	ITER	2PROH|ITER	2
ITER	think.of	ITER|think.of	1
UNK	ITER	UNK|ITER	2
NEG[2SBJ].	ITER	NEG[2SBJ].|ITER	2
ITER	turn	ITER|turn	2
x	PROG	x|PROG	2
on.arrival	come	on.arrival|come	32
wu	PFV	wu|PFV	1
x	PFV	x|PFV	1
PFV	there	PFV|there	1
dwell.	PST	dwell.|PST	1
PST	go.in	PST|go.in	12
to	PROG	to|PROG	7
UNK?	NEG.EMPH	UNK?|NEG.EMPH	1
NEG.EMPH	UNK	NEG.EMPH|UNK	1
DUB	around	DUB|around	3
around	have.sense[3sbj]	around|have.sense[3sbj]	1
old.woman	PST	old.woman|PST	5
INCH	feed	INCH|feed	2
NMLZ.A.	NEG.EMPH	NMLZ.A.|NEG.EMPH	1
NEG.EMPH	eat	NEG.EMPH|eat	3
hi	PST	hi|PST	11
x	PST	x|PST	4
AFF	go.to	AFF|go.to	9
go.to	already	go.to|already	3
already	be.person	already|be.person	1
ki	NEG.EMPH	ki|NEG.EMPH	1
girl	PST	girl|PST	8
PROG	go	PROG|go	27
3SBJ.DEF.	PROG	3SBJ.DEF.|PROG	42
be.good	go.to	be.good|go.to	2
go.to	FUT	go.to|FUT	3
FUT	have.sense	FUT|have.sense	1
x	no.longer	x|no.longer	1
INF	PST	INF|PST	1
PST	out	PST|out	8
